fname,structure,h_min,w_min,h_max,w_max
514.png,nasal tip,71,309,78,335
514.png,midbrain,216,416,313,523
514.png,IT,273,386,312,442
514.png,CM,310,344,334,482
514.png,thalami,147,389,217,497
514.png,NT,342,279,373,446
515.png,CM,328,352,362,437
515.png,IT,295,372,322,418
515.png,midbrain,243,397,333,470
515.png,thalami,177,377,246,463
515.png,nasal tip,77,277,86,313
515.png,NT,355,83,381,272
516.png,midbrain,260,433,362,528
516.png,NT,396,305,425,443
516.png,thalami,194,416,264,513
516.png,CM,350,398,387,478
516.png,IT,318,404,353,453
516.png,nasal skin,104,352,112,381
516.png,nasal bone,116,355,123,387
516.png,nasal tip,98,324,105,353
517.png,palate,141,393,210,506
517.png,nasal bone,107,402,122,460
517.png,nasal skin,98,414,106,445
517.png,nasal tip,93,436,100,468
517.png,thalami,172,259,252,356
517.png,NT,378,288,401,514
517.png,midbrain,254,247,347,320
517.png,CM,355,286,369,389
517.png,IT,320,301,343,357
518.png,IT,233,220,261,295
518.png,nasal tip,68,336,76,363
518.png,palate,107,292,165,381
518.png,CM,265,234,277,294
518.png,nasal skin,73,322,77,343
518.png,nasal bone,79,307,88,338
518.png,thalami,129,188,181,240
518.png,NT,291,250,332,362
518.png,midbrain,183,183,245,230
66.png,NT,352,198,371,449
66.png,midbrain,266,151,342,201
66.png,thalami,206,147,268,228
66.png,CM,328,193,346,253
66.png,nasal bone,159,266,168,297
66.png,IT,300,187,332,240
1564.png,nasal tip,131,297,138,330
1564.png,nasal skin,134,316,144,339
1564.png,NT,360,78,405,430
1564.png,midbrain,260,443,343,509
1564.png,thalami,179,398,262,485
1564.png,nasal bone,142,303,158,352
1564.png,CM,349,376,365,452
1564.png,palate,173,271,230,358
1564.png,IT,312,405,344,460
957.png,CM,370,327,384,427
957.png,IT,324,369,362,438
957.png,midbrain,254,403,366,484
957.png,NT,403,193,422,425
957.png,thalami,168,347,258,479
957.png,palate,142,188,227,306
957.png,nasal tip,92,227,102,262
958.png,IT,328,336,359,400
958.png,midbrain,281,369,356,427
958.png,NT,395,269,451,458
958.png,thalami,214,345,282,421
958.png,CM,363,331,388,392
152.png,thalami,171,159,228,247
152.png,nasal skin,89,305,96,327
152.png,nasal tip,83,319,91,344
152.png,IT,289,203,327,257
152.png,CM,326,163,343,230
152.png,nasal bone,100,285,115,326
152.png,midbrain,230,152,323,216
152.png,NT,362,243,453,441
152.png,palate,126,275,198,372
519.png,IT,312,383,339,424
519.png,CM,353,338,381,419
519.png,thalami,184,351,253,447
519.png,midbrain,254,402,337,477
519.png,NT,389,49,446,446
519.png,nasal skin,114,270,121,295
519.png,nasal bone,122,267,134,298
519.png,palate,160,225,222,318
519.png,nasal tip,107,243,114,272
520.png,thalami,203,209,283,315
520.png,NT,421,276,447,380
520.png,midbrain,281,204,379,284
520.png,IT,339,270,376,320
520.png,CM,379,250,400,342
521.png,palate,124,351,195,459
521.png,nasal bone,92,371,101,410
521.png,NT,364,285,391,612
521.png,midbrain,230,204,334,287
521.png,IT,290,255,310,329
521.png,CM,326,261,346,349
521.png,thalami,158,217,229,321
521.png,nasal tip,75,401,84,437
521.png,nasal skin,82,378,90,412
522.png,IT,301,253,330,316
522.png,palate,117,343,192,448
522.png,nasal bone,85,363,96,400
522.png,nasal skin,72,371,79,401
522.png,CM,338,200,380,346
522.png,nasal tip,69,393,76,418
522.png,midbrain,240,197,340,279
522.png,NT,375,282,409,672
522.png,thalami,162,207,240,296
523.png,CM,311,349,338,431
523.png,palate,125,241,189,337
523.png,nasal bone,101,297,112,330
523.png,nasal skin,92,306,103,335
523.png,midbrain,241,409,325,494
523.png,nasal tip,83,277,94,306
523.png,NT,354,185,396,406
523.png,thalami,163,369,239,471
523.png,IT,291,384,318,424
524.png,CM,372,198,401,299
524.png,IT,341,205,370,269
524.png,midbrain,289,145,388,228
524.png,NT,396,175,440,477
524.png,thalami,206,154,286,255
524.png,nasal tip,91,339,98,363
524.png,nasal skin,100,303,111,335
524.png,nasal bone,117,295,132,341
524.png,palate,137,305,216,390
67.png,thalami,191,449,267,540
67.png,NT,381,115,406,397
67.png,IT,325,450,355,494
67.png,CM,359,423,375,503
67.png,palate,153,319,240,420
67.png,nasal tip,109,345,116,370
67.png,nasal skin,112,367,121,391
67.png,nasal bone,123,365,136,398
959.png,NT,399,174,438,462
959.png,palate,133,217,216,310
959.png,nasal bone,107,269,124,310
959.png,nasal skin,100,280,109,311
959.png,midbrain,278,368,388,449
959.png,thalami,206,350,278,456
959.png,CM,367,302,397,390
959.png,nasal tip,89,255,94,280
959.png,IT,331,327,365,393
1565.png,nasal skin,122,278,130,310
1565.png,NT,418,67,456,435
1565.png,midbrain,281,421,386,534
1565.png,IT,340,369,369,442
1565.png,CM,372,360,406,466
1565.png,nasal tip,117,255,124,283
1565.png,nasal bone,131,277,147,339
1565.png,thalami,201,413,283,522
960.png,NT,400,250,426,528
960.png,palate,173,341,230,434
960.png,nasal bone,130,364,147,404
960.png,nasal skin,122,372,129,401
960.png,nasal tip,119,391,126,420
960.png,CM,360,172,385,292
960.png,IT,322,242,365,306
960.png,midbrain,258,157,343,264
960.png,thalami,176,197,255,303
153.png,CM,351,207,372,284
153.png,IT,324,234,348,290
153.png,midbrain,289,285,358,334
153.png,NT,383,7,409,278
153.png,thalami,231,270,294,336
153.png,palate,193,141,245,226
153.png,nasal skin,162,189,169,212
153.png,nasal tip,156,165,165,197
153.png,nasal bone,171,186,182,214
525.png,nasal bone,114,313,130,356
525.png,palate,149,265,222,368
525.png,nasal skin,108,315,116,337
525.png,thalami,189,412,258,507
525.png,midbrain,257,427,345,524
525.png,IT,313,386,346,448
525.png,CM,350,375,368,450
525.png,NT,375,60,428,447
525.png,nasal tip,103,291,110,325
526.png,nasal bone,84,263,98,297
526.png,thalami,139,164,186,239
526.png,NT,261,277,278,421
526.png,midbrain,191,174,238,215
526.png,CM,251,201,264,252
526.png,palate,103,267,156,330
526.png,nasal skin,75,266,85,290
526.png,nasal tip,73,289,80,306
527.png,CM,344,296,360,354
527.png,IT,309,324,335,386
527.png,midbrain,248,363,336,432
527.png,NT,372,85,400,336
527.png,thalami,179,325,247,423
527.png,nasal skin,120,202,131,243
527.png,nasal bone,129,207,141,263
527.png,palate,162,181,228,284
528.png,IT,306,204,328,257
528.png,nasal tip,156,137,163,157
528.png,nasal skin,159,149,164,169
528.png,nasal bone,165,154,175,190
528.png,palate,189,114,238,197
528.png,thalami,217,217,266,290
528.png,NT,364,4,382,230
528.png,midbrain,265,237,326,299
528.png,CM,331,185,351,273
529.png,thalami,123,285,174,348
529.png,NT,252,82,284,261
529.png,IT,208,309,224,327
529.png,palate,84,186,158,269
529.png,nasal tip,53,200,61,226
529.png,nasal skin,59,221,64,241
529.png,nasal bone,65,224,72,247
68.png,thalami,168,425,248,530
68.png,NT,367,124,388,453
68.png,midbrain,246,476,327,540
68.png,IT,297,438,327,496
68.png,CM,335,374,359,477
68.png,nasal tip,106,312,115,342
68.png,nasal bone,116,334,129,372
68.png,palate,152,291,213,389
961.png,nasal tip,127,265,137,287
961.png,palate,178,263,244,361
961.png,nasal bone,141,304,155,351
961.png,thalami,199,407,275,504
961.png,nasal skin,131,289,140,322
961.png,midbrain,274,442,364,514
961.png,IT,332,392,363,467
961.png,CM,367,334,395,479
961.png,NT,410,299,438,440
962.png,thalami,186,400,258,507
962.png,nasal bone,132,305,145,342
962.png,CM,357,355,383,472
962.png,IT,313,427,355,474
962.png,midbrain,257,448,357,527
962.png,NT,390,3,432,468
962.png,nasal skin,124,296,132,325
1566.png,nasal tip,117,177,126,208
1566.png,nasal skin,118,204,128,231
1566.png,nasal bone,127,207,144,260
1566.png,palate,171,157,250,286
1566.png,IT,336,329,380,413
1566.png,thalami,187,331,272,436
1566.png,NT,434,156,471,422
1566.png,midbrain,272,375,368,458
1566.png,CM,373,323,415,465
154.png,nasal skin,99,283,106,307
154.png,nasal tip,94,254,103,290
154.png,palate,144,229,210,330
154.png,nasal bone,110,273,120,320
154.png,CM,349,316,385,469
154.png,IT,310,365,347,445
154.png,midbrain,248,422,354,508
154.png,NT,387,75,415,418
154.png,thalami,173,372,246,481
530.png,nasal skin,74,324,83,349
530.png,nasal bone,81,309,94,347
530.png,nasal tip,71,341,78,370
530.png,palate,109,295,162,386
530.png,CM,279,196,305,300
530.png,midbrain,200,159,278,225
530.png,NT,303,250,331,458
530.png,thalami,138,180,192,249
530.png,IT,251,210,276,263
531.png,nasal tip,131,277,138,308
531.png,nasal skin,143,302,151,333
531.png,nasal bone,149,293,164,330
531.png,NT,412,220,435,339
531.png,thalami,237,367,311,459
531.png,IT,354,360,384,414
531.png,CM,386,343,413,407
531.png,midbrain,306,391,380,460
532.png,IT,294,434,311,492
532.png,thalami,166,443,252,543
532.png,NT,324,59,385,376
532.png,midbrain,248,481,335,542
532.png,CM,328,403,358,522
533.png,IT,318,239,345,293
533.png,midbrain,255,191,341,265
533.png,NT,393,261,452,409
533.png,thalami,176,193,254,293
533.png,nasal tip,123,382,128,410
533.png,nasal skin,126,368,132,393
533.png,nasal bone,132,343,146,390
533.png,palate,181,327,228,420
533.png,CM,355,238,378,297
534.png,nasal tip,89,227,98,262
534.png,nasal skin,94,250,104,289
534.png,nasal bone,106,249,120,302
534.png,palate,149,194,220,318
534.png,CM,352,329,384,428
534.png,IT,310,354,340,429
534.png,midbrain,248,396,345,490
534.png,NT,386,2,424,393
534.png,thalami,165,364,246,466
535.png,CM,369,266,392,324
535.png,NT,408,313,443,555
535.png,midbrain,280,202,374,279
535.png,IT,343,261,362,303
535.png,nasal tip,105,393,112,416
535.png,nasal skin,110,372,117,395
535.png,nasal bone,123,355,132,394
535.png,thalami,203,218,280,312
69.png,NT,336,27,396,456
69.png,palate,127,273,194,367
69.png,nasal tip,75,297,82,320
69.png,nasal skin,80,319,89,345
69.png,thalami,149,406,231,510
69.png,midbrain,234,442,334,519
69.png,nasal bone,91,315,104,358
69.png,CM,327,369,362,495
69.png,IT,289,396,329,473
963.png,CM,374,283,392,354
963.png,IT,332,250,358,322
963.png,midbrain,268,207,358,275
963.png,NT,392,321,437,671
963.png,thalami,176,212,266,328
963.png,palate,138,377,217,480
963.png,nasal tip,85,419,96,452
964.png,midbrain,259,182,340,261
964.png,nasal bone,125,385,136,418
964.png,nasal tip,110,409,120,443
964.png,thalami,181,214,258,319
964.png,NT,396,309,439,578
964.png,palate,155,361,225,469
964.png,CM,353,230,379,323
964.png,IT,315,242,345,292
965.png,palate,193,273,262,360
965.png,thalami,261,382,325,465
965.png,IT,366,379,392,413
965.png,NT,408,106,432,306
965.png,nasal bone,169,325,182,358
965.png,nasal skin,162,335,173,363
965.png,midbrain,318,402,406,466
965.png,nasal tip,151,297,158,334
155.png,midbrain,258,387,349,475
155.png,IT,313,339,346,401
155.png,CM,350,325,376,410
155.png,nasal tip,80,238,90,267
155.png,nasal skin,83,268,94,294
155.png,nasal bone,92,258,109,308
155.png,palate,135,209,203,324
155.png,NT,400,186,430,365
155.png,thalami,175,359,253,484
536.png,thalami,153,375,220,487
536.png,NT,353,122,377,375
536.png,IT,277,367,313,419
536.png,nasal tip,51,263,56,292
536.png,nasal skin,56,300,65,331
536.png,midbrain,222,394,317,481
536.png,palate,99,238,172,340
536.png,nasal bone,66,299,80,333
536.png,CM,316,358,346,442
537.png,nasal tip,97,393,104,416
537.png,nasal skin,98,374,107,397
537.png,nasal bone,108,365,122,398
537.png,palate,141,347,200,438
537.png,midbrain,222,208,303,276
537.png,thalami,153,230,221,313
537.png,NT,335,263,364,544
537.png,IT,273,259,297,294
538.png,palate,109,289,166,410
538.png,thalami,135,444,220,552
538.png,NT,342,136,376,500
538.png,midbrain,220,485,304,561
538.png,IT,275,454,303,518
538.png,CM,312,440,331,597
538.png,nasal bone,79,347,90,402
538.png,nasal skin,66,351,75,379
538.png,nasal tip,63,321,70,360
539.png,palate,145,357,212,468
539.png,midbrain,267,223,347,293
539.png,nasal bone,114,375,122,416
539.png,nasal skin,104,391,111,407
539.png,NT,389,279,424,597
539.png,thalami,197,234,266,326
539.png,IT,315,265,341,332
539.png,nasal tip,99,413,104,438
540.png,nasal tip,103,239,110,264
540.png,nasal skin,111,260,117,287
540.png,nasal bone,121,257,128,296
540.png,thalami,205,360,277,450
540.png,CM,377,303,398,397
540.png,IT,335,349,367,409
540.png,midbrain,280,379,362,460
540.png,NT,406,52,431,376
540.png,palate,153,225,214,310
541.png,thalami,159,393,243,502
541.png,palate,120,245,189,357
541.png,midbrain,243,453,332,526
541.png,CM,333,360,364,485
541.png,IT,304,407,329,484
541.png,NT,364,112,394,426
1567.png,CM,374,354,405,438
1567.png,NT,417,235,448,422
1567.png,thalami,220,347,284,437
1567.png,midbrain,282,368,374,449
1567.png,IT,342,352,367,402
1567.png,nasal bone,169,253,176,285
1567.png,palate,209,215,256,306
1567.png,nasal skin,159,252,167,273
1567.png,nasal tip,157,231,162,254
966.png,CM,325,381,358,482
966.png,IT,289,406,323,471
966.png,midbrain,234,443,322,540
966.png,NT,358,3,409,464
966.png,nasal tip,77,293,84,322
966.png,nasal skin,82,312,91,341
966.png,palate,137,261,194,370
966.png,thalami,159,410,236,518
966.png,nasal bone,93,318,104,358
967.png,midbrain,225,136,325,220
967.png,nasal bone,111,321,122,378
967.png,thalami,145,153,227,261
967.png,CM,328,158,349,266
967.png,IT,287,190,323,274
967.png,NT,356,146,394,373
156.png,nasal bone,92,316,104,348
156.png,palate,126,301,202,416
156.png,midbrain,254,139,356,211
156.png,IT,304,195,359,278
156.png,CM,330,246,381,348
156.png,nasal tip,71,349,82,384
156.png,nasal skin,78,322,91,354
156.png,thalami,154,141,250,253
156.png,NT,390,223,420,628
542.png,thalami,180,215,258,312
542.png,nasal bone,147,378,157,409
542.png,nasal tip,138,405,146,431
542.png,CM,345,238,377,336
542.png,midbrain,251,195,338,262
542.png,NT,392,275,433,449
542.png,IT,303,233,341,314
542.png,palate,184,354,233,448
543.png,NT,384,176,426,553
543.png,nasal bone,114,335,126,364
543.png,nasal skin,106,346,113,367
543.png,nasal tip,103,361,110,386
543.png,thalami,181,180,255,271
543.png,palate,149,337,192,418
543.png,midbrain,257,173,357,248
543.png,IT,312,232,348,284
543.png,CM,351,237,375,307
544.png,IT,328,372,363,450
544.png,CM,367,336,393,460
544.png,thalami,201,388,274,483
544.png,nasal tip,125,268,135,312
544.png,palate,172,244,240,347
544.png,nasal bone,137,300,154,347
544.png,midbrain,274,413,360,486
544.png,NT,415,226,448,384
545.png,midbrain,261,397,357,465
545.png,NT,396,32,438,468
545.png,CM,364,265,391,401
545.png,palate,141,203,212,335
545.png,nasal skin,96,262,104,288
545.png,nasal tip,94,242,101,268
545.png,thalami,175,368,260,472
545.png,nasal bone,104,265,118,307
546.png,palate,207,226,276,354
546.png,nasal bone,173,295,184,341
546.png,nasal skin,163,287,175,327
546.png,nasal tip,158,262,168,303
546.png,thalami,214,406,296,503
546.png,CM,401,386,427,486
546.png,NT,433,81,469,432
546.png,midbrain,297,458,387,528
546.png,IT,361,421,396,484
547.png,palate,131,215,184,297
547.png,nasal bone,91,255,102,297
547.png,nasal skin,80,253,89,281
547.png,nasal tip,75,238,81,257
547.png,NT,333,1,375,350
547.png,midbrain,221,387,305,450
547.png,thalami,149,342,220,439
547.png,CM,317,301,331,384
547.png,IT,274,332,302,406
70.png,thalami,176,387,256,480
70.png,NT,394,111,434,410
70.png,midbrain,259,428,353,501
70.png,IT,318,389,356,459
70.png,palate,136,228,238,368
70.png,nasal bone,100,286,115,330
70.png,nasal skin,86,291,97,327
70.png,nasal tip,81,264,91,299
968.png,nasal tip,44,310,54,340
968.png,IT,279,395,313,446
968.png,midbrain,228,429,325,509
968.png,thalami,152,394,232,506
968.png,nasal skin,55,335,64,371
968.png,CM,310,367,335,485
968.png,nasal bone,63,331,80,372
968.png,NT,317,33,368,474
968.png,palate,88,287,160,364
1568.png,nasal tip,114,407,126,440
1568.png,CM,366,231,407,362
1568.png,IT,333,246,370,326
1568.png,NT,401,222,437,562
1568.png,thalami,203,217,283,315
1568.png,midbrain,283,207,358,274
1568.png,nasal skin,119,377,132,411
1568.png,nasal bone,130,376,141,410
1568.png,palate,165,353,236,459
969.png,palate,114,330,184,434
969.png,CM,305,230,324,324
969.png,IT,271,233,303,281
969.png,midbrain,216,176,300,257
969.png,NT,331,265,364,639
969.png,nasal bone,85,338,98,380
969.png,nasal tip,71,375,82,407
969.png,nasal skin,76,350,84,379
969.png,thalami,140,199,222,301
6.png,NT,322,3,364,291
6.png,CM,303,312,335,454
6.png,IT,275,329,307,395
6.png,midbrain,234,381,308,443
6.png,thalami,161,347,232,440
6.png,nasal tip,65,259,74,284
6.png,nasal skin,72,284,81,308
548.png,CM,351,352,367,442
548.png,IT,311,382,343,435
548.png,midbrain,252,421,340,484
548.png,NT,375,250,411,471
548.png,thalami,164,381,259,493
548.png,nasal tip,75,271,83,306
548.png,nasal skin,83,295,92,334
548.png,palate,123,248,203,349
548.png,nasal bone,91,294,109,346
549.png,thalami,171,190,258,280
549.png,midbrain,258,187,348,249
549.png,nasal tip,108,385,119,412
549.png,nasal skin,112,369,121,389
549.png,palate,158,331,223,441
549.png,nasal bone,123,355,134,389
549.png,IT,310,231,344,300
549.png,CM,352,240,372,302
549.png,NT,369,181,417,536
550.png,thalami,175,205,237,285
550.png,NT,357,240,388,451
550.png,midbrain,239,193,313,255
550.png,IT,290,235,316,296
550.png,CM,324,237,356,313
550.png,nasal tip,100,367,106,386
550.png,palate,142,319,205,410
550.png,nasal bone,113,328,123,372
550.png,nasal skin,101,342,109,368
551.png,palate,133,246,209,355
551.png,nasal bone,105,309,120,343
551.png,nasal skin,98,307,107,334
551.png,nasal tip,92,272,102,305
551.png,thalami,180,391,261,512
551.png,midbrain,263,447,357,533
551.png,NT,403,151,444,481
551.png,CM,367,347,395,473
551.png,IT,321,413,365,461
552.png,nasal skin,105,280,113,299
552.png,nasal tip,101,259,109,279
552.png,palate,157,225,227,330
552.png,CM,372,330,406,458
552.png,nasal bone,115,278,128,316
552.png,NT,410,237,447,479
552.png,thalami,185,366,267,484
552.png,midbrain,264,396,364,486
552.png,IT,330,353,370,434
553.png,nasal tip,138,354,146,376
553.png,nasal skin,145,329,153,358
553.png,nasal bone,154,309,167,358
553.png,palate,179,317,246,408
553.png,thalami,225,169,290,262
553.png,CM,381,230,415,313
553.png,IT,346,222,369,290
553.png,midbrain,290,160,368,246
970.png,nasal skin,129,366,137,389
970.png,nasal tip,124,336,131,362
970.png,nasal bone,139,352,156,396
970.png,palate,171,298,227,405
970.png,thalami,217,427,286,518
970.png,NT,403,235,433,510
970.png,midbrain,283,454,353,510
970.png,IT,328,407,358,476
970.png,CM,362,382,386,421
1569.png,thalami,214,158,262,207
1569.png,CM,316,194,341,242
1569.png,nasal tip,144,267,153,293
1569.png,nasal skin,150,247,156,272
1569.png,nasal bone,157,240,169,273
1569.png,NT,345,149,362,327
1569.png,palate,174,232,242,314
1569.png,IT,302,197,318,224
1569.png,midbrain,264,148,329,198
826.png,midbrain,259,389,340,470
826.png,nasal tip,110,230,119,255
826.png,nasal bone,121,246,137,293
826.png,NT,404,2,438,373
826.png,palate,161,209,230,307
826.png,thalami,185,347,255,454
826.png,CM,357,342,381,399
826.png,IT,316,343,349,416
826.png,nasal skin,114,250,123,272
554.png,nasal tip,79,369,89,399
554.png,palate,128,324,207,429
554.png,nasal skin,86,344,94,371
554.png,nasal bone,95,335,111,375
554.png,CM,358,244,390,320
554.png,IT,318,228,351,296
554.png,NT,396,241,429,509
554.png,thalami,176,174,253,287
554.png,midbrain,254,156,343,249
555.png,midbrain,236,367,330,463
555.png,nasal bone,84,244,94,316
555.png,palate,112,228,183,320
555.png,CM,328,304,365,389
555.png,IT,299,317,334,392
555.png,NT,364,124,399,439
555.png,thalami,150,341,238,474
555.png,nasal skin,76,265,85,301
555.png,nasal tip,67,244,74,280
556.png,nasal tip,73,264,82,294
556.png,nasal skin,78,285,85,311
556.png,nasal bone,88,288,99,323
556.png,palate,124,236,190,336
556.png,IT,279,374,322,433
556.png,thalami,130,374,236,477
556.png,CM,324,385,342,467
556.png,midbrain,225,417,322,489
556.png,NT,344,3,400,429
557.png,IT,371,372,405,454
557.png,palate,182,244,255,357
557.png,CM,413,367,444,469
557.png,nasal bone,149,304,164,353
557.png,nasal tip,131,279,141,312
557.png,thalami,231,393,317,499
557.png,midbrain,316,425,400,489
557.png,nasal skin,138,308,148,339
557.png,NT,425,1,467,261
558.png,nasal tip,89,285,98,320
558.png,nasal skin,96,314,105,348
558.png,nasal bone,106,302,120,352
558.png,palate,134,265,201,367
558.png,IT,314,399,339,456
558.png,thalami,176,401,256,511
558.png,NT,378,105,405,498
558.png,midbrain,257,432,353,515
558.png,CM,343,356,368,469
559.png,palate,153,194,230,303
559.png,nasal bone,119,243,134,290
559.png,nasal skin,111,239,117,272
559.png,nasal tip,106,224,113,250
559.png,midbrain,259,383,343,481
559.png,IT,317,338,344,426
559.png,thalami,189,328,260,472
559.png,CM,355,330,379,396
559.png,NT,391,138,444,466
72.png,palate,124,327,183,476
72.png,nasal bone,87,357,97,434
72.png,nasal skin,79,377,86,418
72.png,nasal tip,73,404,81,448
72.png,thalami,137,201,211,295
72.png,midbrain,210,204,288,274
72.png,IT,267,233,289,299
72.png,CM,295,235,327,331
72.png,NT,330,204,361,518
971.png,CM,311,277,344,365
971.png,IT,283,286,303,332
971.png,midbrain,228,229,313,308
971.png,NT,321,272,386,660
971.png,thalami,153,248,231,348
971.png,palate,124,382,184,507
971.png,nasal bone,90,416,100,445
971.png,nasal skin,82,416,89,446
971.png,nasal tip,76,439,85,469
972.png,thalami,132,291,194,369
972.png,nasal skin,75,209,84,226
972.png,nasal tip,72,189,82,212
972.png,NT,301,3,360,369
972.png,palate,111,165,171,252
972.png,nasal bone,83,210,94,242
972.png,CM,268,275,288,327
972.png,IT,242,283,260,335
972.png,midbrain,193,315,272,385
827.png,nasal skin,76,298,82,309
827.png,palate,107,253,170,334
827.png,nasal bone,83,277,94,308
827.png,nasal tip,73,305,79,328
827.png,NT,270,211,289,392
827.png,CM,248,176,265,269
827.png,IT,222,199,240,244
827.png,thalami,118,167,174,230
827.png,midbrain,178,162,247,210
560.png,IT,316,377,352,425
560.png,midbrain,258,402,350,473
560.png,NT,362,1,408,398
560.png,thalami,176,371,263,458
560.png,nasal tip,111,258,120,293
560.png,nasal bone,122,281,138,323
560.png,palate,152,231,221,333
560.png,CM,346,339,372,430
561.png,nasal tip,95,271,104,298
561.png,nasal skin,100,288,107,311
561.png,nasal bone,110,290,120,328
561.png,palate,142,237,203,352
561.png,thalami,144,375,231,465
561.png,NT,309,1,380,418
561.png,midbrain,219,414,314,495
561.png,IT,282,395,312,435
561.png,CM,317,349,341,434
562.png,IT,205,300,232,350
562.png,CM,234,324,244,378
562.png,thalami,115,264,176,330
562.png,midbrain,174,269,229,312
562.png,NT,259,320,295,454
563.png,nasal tip,132,276,143,320
563.png,nasal skin,136,317,148,352
563.png,palate,182,259,257,364
563.png,IT,358,398,390,449
563.png,midbrain,293,430,389,514
563.png,NT,395,44,462,454
563.png,thalami,221,395,298,502
563.png,nasal bone,147,285,157,360
73.png,nasal tip,94,367,102,393
73.png,nasal skin,99,348,110,374
73.png,palate,142,330,204,420
73.png,nasal bone,108,330,124,378
73.png,NT,353,244,394,568
73.png,CM,339,239,358,307
73.png,IT,303,221,335,263
73.png,midbrain,240,152,335,240
73.png,thalami,154,182,251,294
973.png,nasal tip,105,347,115,381
973.png,nasal skin,112,318,122,354
973.png,CM,361,255,399,322
973.png,IT,339,217,378,279
973.png,midbrain,277,151,380,233
973.png,NT,410,211,442,549
973.png,thalami,194,156,275,243
973.png,nasal bone,125,313,136,345
973.png,palate,160,295,234,412
974.png,nasal tip,114,240,126,272
974.png,midbrain,253,399,326,459
974.png,nasal bone,129,259,143,302
974.png,palate,159,208,224,312
974.png,IT,299,347,326,419
974.png,thalami,178,363,253,450
974.png,NT,375,2,419,396
974.png,nasal skin,120,265,132,291
974.png,CM,338,325,356,408
1570.png,thalami,215,376,284,479
1570.png,nasal skin,139,253,150,295
1570.png,nasal bone,152,247,165,323
1570.png,palate,190,217,258,334
1570.png,CM,382,356,409,460
1570.png,IT,349,373,376,440
1570.png,midbrain,287,408,376,483
1570.png,NT,422,209,457,462
1570.png,nasal tip,127,208,137,242
812.png,thalami,186,161,264,255
812.png,midbrain,269,167,358,241
812.png,IT,319,219,356,285
812.png,CM,350,196,387,320
812.png,NT,376,224,418,564
812.png,nasal skin,88,319,96,351
812.png,nasal bone,101,305,112,352
812.png,palate,139,315,193,400
812.png,nasal tip,83,351,90,376
564.png,nasal bone,165,293,175,324
564.png,nasal tip,150,323,160,349
564.png,nasal skin,157,298,166,323
564.png,thalami,239,162,283,226
564.png,NT,407,221,430,479
564.png,palate,193,270,278,360
565.png,IT,292,416,320,475
565.png,midbrain,243,458,323,530
565.png,NT,341,210,366,472
565.png,nasal skin,81,361,89,390
565.png,nasal tip,72,333,82,370
565.png,palate,113,294,187,396
565.png,nasal bone,91,353,103,397
565.png,thalami,168,428,241,524
565.png,CM,324,385,337,451
566.png,NT,410,248,444,458
566.png,midbrain,270,399,368,493
566.png,IT,330,362,367,432
566.png,CM,374,344,408,466
566.png,palate,167,198,244,308
566.png,nasal tip,115,226,127,266
566.png,thalami,177,362,270,478
567.png,thalami,156,179,240,277
567.png,midbrain,239,151,308,216
567.png,IT,295,199,325,251
567.png,palate,161,294,228,404
567.png,nasal bone,129,309,140,366
567.png,nasal skin,121,329,128,358
567.png,nasal tip,119,349,127,384
567.png,NT,364,226,394,471
568.png,nasal tip,116,224,124,257
568.png,palate,166,197,225,316
568.png,CM,341,286,377,449
568.png,thalami,172,336,253,431
568.png,midbrain,254,370,336,454
568.png,NT,383,191,419,386
568.png,IT,311,338,335,408
569.png,midbrain,260,453,342,522
569.png,thalami,192,444,266,531
569.png,palate,136,345,196,406
569.png,nasal bone,114,386,127,414
569.png,nasal skin,107,391,115,414
569.png,nasal tip,98,367,105,387
74.png,NT,361,149,416,367
74.png,thalami,162,147,243,253
74.png,CM,335,195,359,267
74.png,IT,300,209,330,254
74.png,nasal bone,105,316,117,356
74.png,palate,147,294,209,401
74.png,nasal tip,94,338,103,372
74.png,midbrain,250,148,336,215
975.png,nasal tip,147,387,155,407
975.png,nasal skin,149,371,156,389
975.png,nasal bone,157,352,171,386
975.png,palate,198,323,270,435
975.png,CM,392,240,420,308
975.png,IT,355,246,381,305
975.png,midbrain,296,190,389,279
975.png,NT,424,214,473,436
975.png,thalami,221,203,297,294
157.png,CM,322,244,346,339
157.png,nasal skin,80,372,91,395
157.png,nasal tip,77,389,84,414
157.png,IT,282,240,323,305
157.png,midbrain,238,183,323,265
157.png,thalami,153,203,238,306
157.png,NT,351,255,385,599
157.png,palate,125,335,198,438
157.png,nasal bone,95,349,106,408
570.png,palate,156,262,234,370
570.png,nasal skin,119,310,128,344
570.png,IT,332,398,362,456
570.png,nasal tip,115,287,124,322
570.png,thalami,172,402,270,509
570.png,NT,406,28,450,443
570.png,midbrain,272,433,360,516
570.png,nasal bone,129,306,143,356
570.png,CM,368,377,389,482
571.png,IT,320,257,342,309
571.png,NT,382,252,415,552
571.png,midbrain,268,219,339,278
571.png,CM,353,274,372,370
571.png,palate,176,355,233,437
571.png,nasal bone,146,355,157,395
571.png,nasal skin,136,372,143,398
571.png,nasal tip,132,389,140,417
571.png,thalami,199,217,268,306
572.png,nasal skin,105,345,112,371
572.png,nasal tip,101,369,108,391
572.png,nasal bone,114,329,123,368
572.png,palate,146,311,218,424
572.png,thalami,154,190,240,309
572.png,NT,342,217,413,671
572.png,midbrain,238,175,324,266
